iter	MAE
0	6.393381865
1	6.380659884
2	6.370302242
3	6.361745424
4	6.354584158
5	6.348484688
6	6.343166824
7	6.338100439
8	6.33452862
9	6.33072339
10	6.32741748
11	6.324649282
12	6.322296564
13	6.320119962
14	6.318362684
15	6.316888109
16	6.315649243
17	6.314530774
18	6.313383722
19	6.312526225
20	6.311363609
21	6.310391966
22	6.309698462
23	6.30911121
24	6.308487593
25	6.307558959
26	6.306968845
27	6.30637534
28	6.305826445
29	6.305178744
30	6.304742804
31	6.304025746
32	6.303419314
33	6.302954461
34	6.302598816
35	6.302139725
36	6.30159295
37	6.301139036
38	6.300740431
39	6.300325408
40	6.300054217
41	6.299692307
42	6.299321287
43	6.299057592
44	6.298773507
45	6.298272953
46	6.297489668
47	6.297205071
48	6.296457836
49	6.295729143
50	6.295454606
51	6.295262376
52	6.294640453
53	6.294295512
54	6.29366191
55	6.293281804
56	6.292294401
57	6.291930783
58	6.291544099
59	6.291171877
60	6.29065693
61	6.290390758
62	6.290175813
63	6.289987938
64	6.289527822
65	6.289192216
66	6.288831514
67	6.288382264
68	6.287625408
69	6.287356323
70	6.286971219
71	6.286193384
72	6.285844792
73	6.285264178
74	6.284988203
75	6.284362074
76	6.284095773
77	6.283362862
78	6.283152605
79	6.28263238
80	6.282184944
81	6.282000161
82	6.281711039
83	6.281261565
84	6.280749199
85	6.280478681
86	6.280089592
87	6.279938041
88	6.279685716
89	6.279522476
90	6.279330908
91	6.279166344
92	6.278960627
93	6.278720127
94	6.278524445
95	6.278348674
96	6.278017633
97	6.27749312
98	6.27726062
99	6.277103045
100	6.276862925
101	6.276579412
102	6.276280237
103	6.276007979
104	6.275817879
105	6.275670837
106	6.275409377
107	6.275190542
108	6.274980685
109	6.274767171
110	6.274379256
111	6.274164569
112	6.273948639
113	6.273542685
114	6.273434758
115	6.273170432
116	6.273059317
117	6.272879772
118	6.272723582
119	6.272570946
120	6.272414448
121	6.27223461
122	6.272143739
123	6.272007431
124	6.271869502
125	6.27170668
126	6.271585674
127	6.271173603
128	6.271052154
129	6.270939125
130	6.270831291
131	6.270717992
132	6.270165664
133	6.270047675
134	6.269901031
135	6.269759965
136	6.269605798
137	6.269204801
138	6.269023785
139	6.268918537
140	6.268807936
141	6.268667067
142	6.26843998
143	6.268236813
144	6.26805591
145	6.26790351
146	6.267732276
147	6.267390913
148	6.267247499
149	6.267106668
150	6.266940026
151	6.26673749
152	6.266560123
153	6.266445156
154	6.266110027
155	6.26596704
156	6.265764727
157	6.265641779
158	6.265249258
159	6.265052472
160	6.264953131
161	6.264837622
162	6.264741215
163	6.264573934
164	6.264498605
165	6.264360804
166	6.264253686
167	6.264163439
168	6.264002626
169	6.263873227
170	6.263737979
171	6.263601094
172	6.263500933
173	6.263307457
174	6.263176684
175	6.263009843
176	6.262870124
177	6.262624164
178	6.262504143
179	6.262417917
180	6.262355001
181	6.262256524
182	6.262148643
183	6.26196697
184	6.261863898
185	6.261762665
186	6.261571523
187	6.261471284
188	6.261342864
189	6.261166868
190	6.261097045
191	6.260897681
192	6.260803146
193	6.260525684
194	6.260297489
195	6.260062671
196	6.259953923
197	6.259858481
198	6.259621331
199	6.259539178
200	6.259455094
201	6.259340915
202	6.259124862
203	6.25904272
204	6.258907323
205	6.258682899
206	6.258593272
207	6.258508907
208	6.258326353
209	6.258206851
210	6.258025914
211	6.2578941
212	6.257659476
213	6.257534939
214	6.257291022
215	6.257169193
216	6.257083492
217	6.256941137
218	6.25686144
219	6.256744702
220	6.256438847
221	6.256124009
222	6.255963545
223	6.255874557
224	6.255770867
225	6.255660845
226	6.255588083
227	6.255429488
228	6.255272841
229	6.255083733
230	6.254973213
231	6.25489121
232	6.254823389
233	6.254666429
234	6.254560263
235	6.254483442
236	6.25438174
237	6.254247392
238	6.253990245
239	6.253919638
240	6.253832093
241	6.253628695
242	6.253557565
243	6.253440579
244	6.253250807
245	6.25308601
246	6.252937567
247	6.252753074
248	6.252561645
249	6.252461312
250	6.252351507
251	6.252184303
252	6.252144792
253	6.252014419
254	6.2518742
255	6.251771802
256	6.251543325
257	6.251427778
258	6.251159642
259	6.251044429
260	6.250705252
261	6.25062635
262	6.250532441
263	6.250473709
264	6.250404715
265	6.250324082
266	6.250234655
267	6.250074493
268	6.25000063
269	6.249917923
270	6.249696588
271	6.249620549
272	6.249546853
273	6.24945526
274	6.249360949
275	6.249248471
276	6.249148257
277	6.24908406
278	6.249032661
279	6.248775228
280	6.248676042
281	6.248555413
282	6.248310166
283	6.248208253
284	6.248081906
285	6.247980146
286	6.247871136
287	6.247778393
288	6.247547927
289	6.247339227
290	6.246972958
291	6.246894013
292	6.246819394
293	6.246734458
294	6.246601599
295	6.24649975
296	6.2463144
297	6.246212247
298	6.24614967
299	6.246081776
300	6.245973184
301	6.24589919
302	6.245807867
303	6.245757179
304	6.245659782
305	6.245548034
306	6.245457184
307	6.24534707
308	6.244224537
309	6.244162331
310	6.244103345
311	6.244013373
312	6.243942212
313	6.243885399
314	6.243780372
315	6.243713294
316	6.24365878
317	6.243575023
318	6.243511341
319	6.243424091
320	6.24320691
321	6.243124399
322	6.242940282
323	6.242819619
324	6.242759178
325	6.242698617
326	6.242609013
327	6.242518551
328	6.242458426
329	6.24237015
330	6.242285978
331	6.242194129
332	6.242119059
333	6.242029226
334	6.241829254
335	6.241694904
336	6.241578231
337	6.241531806
338	6.241468674
339	6.241172158
340	6.241086721
341	6.24100181
342	6.240921039
343	6.240883587
344	6.240511214
345	6.239677888
346	6.239603817
347	6.239546697
348	6.239462501
349	6.239358029
350	6.239313172
351	6.23920244
352	6.238723031
353	6.238626966
354	6.238518734
355	6.238392765
356	6.238310553
357	6.238205738
358	6.238160415
359	6.23810719
360	6.238056553
361	6.237666441
362	6.237590371
363	6.237536299
364	6.237472073
365	6.237388542
366	6.237335903
367	6.237248902
368	6.237152778
