iter	Passed	Remaining
0	8174	14706168
1	15271	13729363
2	23418	14027642
3	29601	13290910
4	36294	13029767
5	41331	12358199
6	46644	11947663
7	50736	11364910
8	57199	11382635
9	61651	11035535
10	67211	10931008
11	72238	10763530
12	78074	10732234
13	83617	10667238
14	88108	10484945
15	93457	10420531
16	98938	10376859
17	103934	10289508
18	109358	10250911
19	114389	10180643
20	119080	10087783
21	122708	9917094
22	127844	9877348
23	133148	9853001
24	138038	9800701
25	143680	9803436
26	149222	9798919
27	156047	9875568
28	163668	9995050
29	170079	10034688
30	176132	10050930
31	180523	9973932
32	184999	9905880
33	189286	9831740
34	196051	9886588
35	202223	9908941
36	209185	9967386
37	215890	10010493
38	223173	10077132
39	230817	10155950
40	237978	10209863
41	243988	10212667
42	251847	10290624
43	259222	10345349
44	265299	10346676
45	270070	10297911
46	276552	10314801
47	282145	10298294
48	288036	10292885
49	294083	10292923
50	300115	10292195
51	307347	10331589
52	314467	10365572
53	319789	10339869
54	327183	10380647
55	333254	10378491
56	339744	10389043
57	344595	10349749
58	349399	10310235
59	357140	10357069
60	363207	10354402
61	369799	10366323
62	374524	10326179
63	379515	10294355
64	385250	10283237
65	389538	10234229
66	395004	10217067
67	399657	10179500
68	404517	10148112
69	408420	10093817
70	413157	10061254
71	419276	10062639
72	423273	10013611
73	430490	10040911
74	435200	10009620
75	444045	10072822
76	450041	10070419
77	455863	10064055
78	463111	10088793
79	470578	10117428
80	476939	10121708
81	486456	10191847
82	493614	10211278
83	501083	10236414
84	508745	10264694
85	518192	10327698
86	524682	10330810
87	529532	10301820
88	535225	10289551
89	543838	10332933
90	549189	10313904
91	554044	10285959
92	558383	10249035
93	562788	10214007
94	566601	10169007
95	570351	10123733
96	574111	10079495
97	578938	10054632
98	582453	10007616
99	588335	10001707
100	592032	9959039
101	596449	9929122
102	600635	9895907
103	605374	9872256
104	609591	9840550
105	613415	9803073
106	618445	9785316
107	622623	9754433
108	627796	9739480
109	632424	9716337
110	637228	9696213
111	641440	9667417
112	646908	9657832
113	650651	9622792
114	656722	9622406
115	661819	9607796
116	666381	9585635
117	670317	9554868
118	674816	9532492
119	679543	9513611
120	683282	9481257
121	686901	9447713
122	690992	9421097
123	694948	9393018
124	700314	9384207
125	704312	9357295
126	708498	9333213
127	714123	9328242
128	717198	9290216
129	721260	9265419
130	725854	9247718
131	730256	9227792
132	734869	9210727
133	738570	9182526
134	742104	9152618
135	746714	9136267
136	751800	9125867
137	757253	9119960
138	761017	9093882
139	764855	9069004
140	768099	9037425
141	771379	9006673
142	775244	8983079
143	779845	8968228
144	783966	8948029
145	788107	8928284
146	792784	8914785
147	797190	8898367
148	801898	8885466
149	806837	8875207
150	811554	8862608
151	816257	8849949
152	820396	8831325
153	824713	8814790
154	829080	8798951
155	833616	8785036
156	837743	8766962
157	841725	8747555
158	847080	8742505
159	851851	8731480
160	855423	8708316
161	859207	8687537
162	862829	8665346
163	866688	8645749
164	870467	8625540
165	873595	8599129
166	878175	8587185
167	881555	8563681
168	886319	8553774
169	891161	8544662
170	895318	8529089
171	899686	8515640
172	903935	8501177
173	907269	8478280
174	911174	8460904
175	915567	8448189
176	920982	8444940
177	925485	8433359
178	930059	8422495
179	934191	8407719
180	939149	8400461
181	942987	8383264
182	948448	8380549
183	954155	8379977
184	958116	8364097
185	963663	8362111
186	969860	8365699
187	979506	8398745
188	987327	8415794
189	993658	8419952
190	1002024	8441134
191	1008047	8442395
192	1012125	8427385
193	1018623	8432521
194	1023024	8420278
195	1027601	8409556
196	1032684	8403010
197	1037947	8397935
198	1045058	8407731
199	1049025	8392206
200	1055694	8398286
201	1061781	8399636
202	1067631	8399054
203	1072503	8390762
204	1079484	8398912
205	1084329	8390395
206	1088294	8375132
207	1092395	8361029
208	1095873	8342267
209	1100823	8334809
210	1104547	8318135
211	1110183	8315903
212	1115919	8314386
213	1119873	8299622
214	1124683	8291271
215	1129434	8282517
216	1133711	8270343
217	1138229	8259993
218	1142805	8250113
219	1146206	8231847
220	1151271	8225601
221	1156750	8222305
222	1161917	8216790
223	1168064	8218164
224	1174538	8221770
225	1180122	8219083
226	1185592	8215582
227	1192244	8220210
228	1198169	8219755
229	1201935	8204513
230	1206004	8191435
231	1209342	8173488
232	1214026	8164718
233	1218676	8155759
234	1223400	8147324
235	1227309	8133528
236	1232910	8130964
237	1237293	8120387
238	1242097	8112614
239	1248160	8113044
240	1252679	8103435
241	1257016	8092690
242	1262030	8086343
243	1266265	8075035
244	1270842	8065959
245	1274524	8051262
246	1278480	8038382
247	1282533	8026179
248	1287338	8018720
249	1291697	8008526
250	1295199	7993086
251	1298973	7979411
252	1302275	7962924
253	1307131	7956006
254	1310568	7940501
255	1313695	7923227
256	1317661	7911098
257	1321391	7897619
258	1325195	7884658
259	1328890	7871123
260	1332098	7854786
261	1335690	7840808
262	1338609	7822976
263	1342231	7809347
264	1345854	7795799
265	1349337	7781518
266	1352547	7765751
267	1356095	7752006
268	1358823	7733673
269	1362027	7718155
270	1366463	7709680
271	1370197	7697287
272	1373221	7680986
273	1376664	7667116
274	1379681	7650959
275	1382295	7632675
276	1386790	7624844
277	1389792	7608865
278	1393015	7594182
279	1396442	7580690
280	1400183	7568964
281	1403466	7554829
282	1407011	7542176
283	1411278	7533444
284	1414020	7516632
285	1417876	7505824
286	1421523	7493955
287	1424674	7479541
288	1429012	7471410
289	1432472	7458736
290	1435813	7445506
291	1438731	7430161
292	1442019	7416803
293	1445320	7403582
294	1448244	7388502
295	1451635	7375877
296	1455304	7364722
297	1459150	7354509
298	1462093	7339806
299	1465553	7327767
300	1469439	7317906
301	1473215	7307537
302	1477312	7298799
303	1480179	7284042
304	1483905	7273571
305	1487062	7260366
306	1491273	7252347
307	1495455	7244219
308	1498963	7232864
309	1503926	7228551
310	1508059	7220261
311	1511297	7207726
312	1514712	7196094
313	1518150	7184622
314	1521532	7172937
315	1526370	7168143
316	1530230	7158773
317	1535135	7154312
318	1542774	7162536
319	1547666	7157956
320	1553598	7158169
321	1558625	7154189
322	1562798	7146296
323	1566974	7138440
324	1571239	7131009
325	1575959	7125655
326	1581171	7122522
327	1585558	7115679
328	1590164	7109825
329	1593162	7096814
330	1597387	7089313
331	1600618	7077433
332	1603536	7064226
333	1606337	7050569
334	1610235	7041774
335	1613541	7030430
336	1617398	7021523
337	1621188	7012360
338	1624192	6999839
339	1628466	6992825
340	1633443	6988836
341	1636778	6977843
342	1640298	6967683
343	1643961	6958160
344	1647470	6948026
345	1650597	6936327
346	1653853	6925214
347	1656988	6913643
348	1660245	6902624
349	1663673	6892360
350	1667431	6883501
351	1670439	6871582
352	1674044	6862158
353	1677627	6852683
354	1680648	6840949
355	1683638	6829140
356	1687221	6819778
357	1690219	6808090
358	1693167	6796251
359	1696953	6787813
360	1700776	6779547
361	1703569	6767218
362	1707810	6760673
363	1710583	6748345
364	1714520	6740647
365	1717224	6728143
366	1720270	6717022
367	1722853	6704146
368	1726474	6695352
369	1729339	6683662
370	1732346	6672571
371	1735493	6662054
372	1738807	6652220
373	1742379	6643405
374	1745418	6632590
375	1749782	6626836
376	1753108	6617169
377	1755885	6605472
378	1758905	6594735
379	1762448	6585992
380	1766193	6578029
381	1770780	6573211
382	1774726	6566024
383	1777858	6555851
384	1782960	6552957
385	1786278	6543519
386	1790010	6535618
387	1793065	6525279
388	1795752	6513642
389	1799485	6505830
390	1803219	6498045
391	1806815	6489786
392	1810886	6483250
393	1814576	6475366
394	1817993	6466534
395	1821662	6458622
396	1824832	6448966
397	1828533	6441215
398	1831898	6432304
399	1835211	6423239
400	1838204	6413088
401	1841494	6404001
402	1845085	6395989
403	1849015	6389173
404	1852304	6380161
405	1855284	6370114
406	1858559	6361113
407	1861706	6351705
408	1865994	6346205
409	1869588	6338360
410	1873263	6330810
411	1877307	6324520
412	1880295	6314697
413	1883290	6304929
414	1886151	6294747
415	1889271	6285461
416	1892995	6278207
417	1896383	6269861
418	1899216	6259707
419	1902527	6251161
420	1906219	6243887
421	1910193	6237551
422	1913725	6229785
423	1917769	6223704
424	1922463	6219734
425	1927003	6215263
426	1930517	6207495
427	1934295	6200591
428	1937615	6192239
429	1942013	6187345
430	1945903	6180840
431	1949196	6172454
432	1951864	6162121
433	1955784	6155764
434	1959134	6147629
435	1962192	6138602
436	1965654	6130864
437	1969163	6123288
438	1971714	6112765
439	1975560	6106277
440	1979406	6099804
441	1982469	6090936
442	1985989	6083492
443	1990292	6078461
444	1994769	6073959
445	1998472	6067110
446	2001807	6059162
447	2005636	6052725
448	2008603	6043703
449	2011313	6033941
450	2016007	6030142
451	2019425	6022533
452	2022440	6013747
453	2025805	6006021
454	2030603	6002553
455	2034423	5996194
456	2037537	5987775
457	2042138	5983734
458	2045477	5976003
459	2049695	5970852
460	2053192	5963610
461	2057839	5959716
462	2060876	5951170
463	2064448	5944187
464	2068383	5938263
465	2072748	5933576
466	2076168	5926194
467	2079441	5918409
468	2083095	5911728
469	2086548	5904488
470	2090451	5898534
471	2094155	5892031
472	2096951	5882992
473	2099752	5873991
474	2103371	5867299
475	2106408	5859001
476	2109267	5850232
477	2112868	5843538
478	2117194	5838859
479	2120452	5831244
480	2123725	5823687
481	2127123	5816491
482	2130571	5809445
483	2133504	5801016
484	2136791	5793568
485	2141023	5788694
486	2145021	5783190
487	2148968	5777554
488	2153073	5772351
489	2156533	5765425
490	2159456	5757084
491	2162646	5749474
492	2166283	5743067
493	2170645	5738588
494	2173758	5730817
495	2177020	5723457
496	2180352	5716296
497	2183517	5708713
498	2186847	5701581
499	2190195	5694508
500	2193041	5686148
501	2196845	5680290
502	2201485	5676594
503	2204662	5669131
504	2208325	5662934
505	2211455	5655383
506	2214533	5647714
507	2218439	5642173
508	2222428	5636847
509	2226296	5631221
510	2230680	5626903
511	2234417	5620956
512	2237842	5614235
513	2241030	5606936
514	2245131	5601929
515	2248875	5596038
516	2252343	5589472
517	2255426	5581962
518	2258942	5575539
519	2262053	5568131
520	2265552	5561691
521	2268836	5554736
522	2272913	5549732
523	2276881	5544467
524	2280625	5538661
525	2283895	5531717
526	2287700	5526077
527	2291453	5520319
528	2294938	5513925
529	2298245	5507116
530	2301372	5499890
531	2305001	5493874
532	2307946	5486245
533	2311399	5479834
534	2315464	5474883
535	2318359	5467175
536	2321824	5460827
537	2325696	5455444
538	2329109	5448992
539	2332236	5441885
540	2336169	5436669
541	2340212	5431709
542	2343903	5425941
543	2346783	5418308
544	2350190	5411905
545	2353688	5405724
546	2357337	5399898
547	2360730	5393494
548	2363874	5386533
549	2367061	5379684
550	2370608	5373665
551	2374427	5368269
552	2377620	5361469
553	2380812	5354678
554	2384368	5348718
555	2387471	5341752
556	2390393	5334396
557	2394288	5329223
558	2398502	5324762
559	2402320	5319423
560	2405437	5312544
561	2409547	5307863
562	2412560	5300777
563	2415878	5294372
564	2419673	5289020
565	2423942	5284708
566	2428233	5280445
567	2431524	5274011
568	2435404	5268861
569	2438164	5261302
570	2441354	5254684
571	2444915	5248875
572	2448848	5243869
573	2452037	5237279
574	2456029	5232411
575	2459975	5227448
576	2463298	5221169
577	2467247	5216222
578	2470985	5210834
579	2473853	5203622
580	2477346	5197737
581	2480261	5190649
582	2483471	5184194
583	2486115	5176569
584	2489810	5171144
585	2493444	5165599
586	2496743	5159369
587	2499880	5152813
588	2503449	5147160
589	2506865	5141198
590	2510089	5134853
591	2512795	5127460
592	2517147	5123435
593	2520696	5117777
594	2525652	5114977
595	2529522	5109974
596	2533088	5104364
597	2538409	5102287
598	2543207	5099152
599	2547865	5095731
600	2552855	5092967
601	2557746	5089999
602	2560943	5083664
603	2564108	5077273
604	2568190	5072706
605	2572498	5068585
606	2576843	5064536
607	2581714	5061519
608	2585291	5055963
609	2589130	5050926
610	2592574	5045123
611	2596471	5040209
612	2599734	5034069
613	2602473	5026928
614	2606477	5022236
615	2610602	5017781
616	2613605	5011175
617	2617248	5005804
618	2620438	4999576
619	2624031	4994124
620	2627508	4988458
621	2630151	4981219
622	2634130	4976519
623	2637348	4970388
624	2641229	4965512
625	2645463	4961300
626	2652054	4961498
627	2656694	4958034
628	2660815	4953600
629	2664249	4947891
630	2667863	4942523
631	2671278	4936792
632	2674521	4930752
633	2677939	4925043
634	2681910	4920355
635	2686236	4916318
636	2690577	4912309
637	2694522	4907578
638	2697864	4901753
639	2701438	4896356
640	2705413	4891690
641	2709563	4887343
642	2712929	4881585
643	2716541	4876276
644	2720499	4871592
645	2723953	4866009
646	2726959	4859636
647	2731178	4855427
648	2734088	4848899
649	2737585	4843419
650	2741557	4838786
651	2745284	4833721
652	2748199	4827235
653	2751776	4821921
654	2754440	4815013
655	2757193	4808275
656	2760905	4803219
657	2764231	4797496
658	2769405	4794980
659	2773331	4790299
660	2777531	4786093
661	2784926	4787380
662	2792847	4789543
663	2798090	4787093
664	2805406	4788174
665	2809873	4784378
666	2814819	4781394
667	2819100	4777277
668	2823061	4772618
669	2827192	4768250
670	2831545	4764255
671	2835251	4759171
672	2840192	4756161
673	2844441	4751989
674	2849661	4749436
675	2854837	4746800
676	2862380	4748084
677	2869553	4748730
678	2875981	4748122
679	2882424	4747522
680	2888138	4745708
681	2892272	4741291
682	2896201	4736539
683	2899483	4730736
684	2903036	4725380
685	2906326	4719602
686	2909995	4714446
687	2914773	4711087
688	2918138	4705445
689	2921472	4699760
690	2925612	4695375
691	2930348	4691945
692	2933475	4685940
693	2936033	4679039
694	2938820	4672513
695	2942326	4667138
696	2946408	4662680
697	2949500	4656660
698	2952704	4650826
699	2955372	4644156
700	2958355	4637992
701	2962133	4633079
702	2965676	4627805
703	2969954	4623678
704	2974502	4619972
705	2979913	4617599
706	2983806	4612871
707	2987777	4608267
708	2991568	4603386
709	2994778	4597617
710	2998106	4592036
711	3001779	4586988
712	3006424	4583427
713	3009763	4577875
714	3012471	4571372
715	3016963	4567581
716	3019721	4561168
717	3023613	4556475
718	3028003	4552534
719	3034555	4551833
720	3041698	4552001
721	3046108	4548067
722	3050197	4543655
723	3053797	4538516
724	3057310	4533253
725	3060692	4527800
726	3063819	4521977
727	3067021	4516272
728	3070457	4510919
729	3073717	4505312
730	3077743	4500831
731	3081947	4496611
732	3085641	4491649
733	3089409	4486798
734	3093736	4482760
735	3097891	4478473
736	3100837	4472443
737	3104578	4467564
738	3107525	4461548
739	3111718	4457326
740	3115094	4451936
741	3118258	4446250
742	3121628	4440863
743	3124932	4435387
744	3128675	4430540
745	3132885	4426355
746	3136289	4421034
747	3139834	4415917
748	3142967	4410226
749	3146199	4404679
750	3148852	4398330
751	3151831	4392446
752	3154792	4386543
753	3157804	4380720
754	3161346	4375638
755	3166770	4373158
756	3170382	4368175
757	3173456	4362456
758	3177554	4358147
759	3181400	4353495
760	3186260	4350229
761	3189777	4345129
762	3193659	4340530
763	3196404	4334391
764	3200120	4329574
765	3204180	4325225
766	3208150	4320755
767	3211214	4315069
768	3213972	4308979
769	3216931	4303167
770	3220476	4298145
771	3223100	4291900
772	3227693	4288280
773	3232932	4285515
774	3237798	4282249
775	3242029	4278142
776	3247087	4275123
777	3250751	4270267
778	3254968	4266139
779	3258555	4261188
780	3262125	4256216
781	3266365	4252123
782	3270887	4248393
783	3274926	4244036
784	3278938	4239647
785	3282912	4235207
786	3286472	4230237
787	3290855	4226327
788	3294368	4221300
789	3297807	4216184
790	3300599	4210246
791	3303831	4204875
792	3307388	4199924
793	3310958	4194992
794	3314869	4190494
795	3318079	4185115
796	3321373	4179846
797	3324575	4174466
798	3328427	4169906
799	3331958	4164948
800	3335253	4159698
801	3338626	4154549
802	3341785	4149141
803	3345373	4144268
804	3348340	4138631
805	3352614	4134614
806	3357525	4131378
807	3360892	4126244
808	3363890	4120661
809	3367924	4116352
810	3371278	4111214
811	3375252	4106834
812	3378152	4101151
813	3381853	4096446
814	3384946	4091008
815	3388236	4085814
816	3391137	4080157
817	3394258	4074769
818	3397328	4069327
819	3400679	4064227
820	3404235	4059374
821	3408291	4055120
822	3411330	4049659
823	3413904	4043654
824	3417444	4038798
825	3420967	4033924
826	3423870	4028326
827	3427575	4023675
828	3431033	4018738
829	3434394	4013689
830	3437723	4008609
831	3441245	4003756
832	3445328	3999558
833	3449115	3995018
834	3452181	3989646
835	3455063	3984068
836	3458805	3979485
837	3462523	3974877
838	3465789	3969754
839	3469541	3965190
840	3473093	3960400
841	3476872	3955871
842	3480607	3951295
843	3484434	3946824
844	3487848	3941887
845	3492689	3938564
846	3495916	3933421
847	3500178	3929446
848	3503295	3924185
849	3506830	3919398
850	3510842	3915146
851	3514629	3910643
852	3517699	3905347
853	3520581	3899848
854	3524386	3895374
855	3527455	3890090
856	3531246	3885607
857	3534938	3881016
858	3538290	3876055
859	3542027	3871518
860	3545316	3866495
861	3549031	3861939
862	3552861	3857510
863	3556870	3853276
864	3561927	3850176
865	3566105	3846122
866	3570137	3841912
867	3573555	3837043
868	3577800	3833063
869	3581438	3828434
870	3586094	3824893
871	3589737	3820271
872	3593299	3815565
873	3596392	3810365
874	3599688	3805385
875	3602457	3799852
876	3606918	3796107
877	3610564	3791504
878	3614043	3786727
879	3617381	3781807
880	3622397	3778642
881	3626198	3774207
882	3629478	3769232
883	3632439	3763930
884	3635454	3758690
885	3640681	3755736
886	3643979	3750792
887	3647869	3746460
888	3651456	3741818
889	3654348	3736468
890	3658920	3732838
891	3663056	3728761
892	3667057	3724547
893	3671079	3720355
894	3674424	3715479
895	3677521	3710356
896	3680789	3705410
897	3684377	3700789
898	3687954	3696159
899	3691211	3691211
900	3693957	3685757
901	3697397	3681001
902	3701526	3676931
903	3706476	3673675
904	3710345	3669347
905	3713931	3664740
906	3717976	3660587
907	3721019	3655450
908	3725214	3651447
909	3729316	3647353
910	3733761	3643594
911	3737987	3639619
912	3741555	3635004
913	3745443	3630703
914	3748990	3626073
915	3752210	3621129
916	3755909	3616649
917	3759792	3612349
918	3762907	3607313
919	3766448	3602689
920	3769569	3597667
921	3773158	3593094
922	3775983	3587797
923	3779914	3583554
924	3783830	3579299
925	3786847	3574195
926	3789585	3568832
927	3793225	3564323
928	3796412	3559392
929	3800076	3554909
930	3804044	3550713
931	3807094	3545663
932	3810690	3541123
933	3813913	3536241
934	3817332	3531542
935	3820758	3526854
936	3824021	3522017
937	3827590	3517465
938	3831358	3513099
939	3834137	3507827
940	3838455	3503967
941	3841699	3499127
942	3845760	3495034
943	3849556	3490699
944	3852821	3485885
945	3855937	3480941
946	3859645	3476534
947	3863760	3472493
948	3866817	3467504
949	3869568	3462245
950	3873497	3458043
951	3877121	3453570
952	3880013	3448448
953	3884115	3444404
954	3888059	3440220
955	3893142	3437042
956	3896760	3432569
957	3900339	3428064
958	3903498	3423192
959	3907281	3418871
960	3910884	3414393
961	3914622	3410034
962	3917501	3404930
963	3920684	3400095
964	3924981	3396227
965	3928641	3391808
966	3932877	3387887
967	3936587	3383513
968	3940133	3378999
969	3943870	3374652
970	3947092	3369865
971	3950217	3364999
